Year_and_month,Industry,Salary
1980-01-01,Industry_and_services,8016
1980-02-01,Industry_and_services,10393
1980-03-01,Industry_and_services,7902
1980-04-01,Industry_and_services,7987
1980-05-01,Industry_and_services,8169
1980-06-01,Industry_and_services,8393
1980-07-01,Industry_and_services,8734
1980-08-01,Industry_and_services,8866
1980-09-01,Industry_and_services,9066
1980-10-01,Industry_and_services,9206
1980-11-01,Industry_and_services,9292
1980-12-01,Industry_and_services,10035
1981-01-01,Industry_and_services,11270
1981-02-01,Industry_and_services,10887
1981-03-01,Industry_and_services,9745
1981-04-01,Industry_and_services,9998
1981-05-01,Industry_and_services,10222
1981-06-01,Industry_and_services,10335
1981-07-01,Industry_and_services,10542
1981-08-01,Industry_and_services,10684
1981-09-01,Industry_and_services,10941
1981-10-01,Industry_and_services,10921
1981-11-01,Industry_and_services,10895
1981-12-01,Industry_and_services,11652
1982-01-01,Industry_and_services,13581
1982-02-01,Industry_and_services,11149
1982-03-01,Industry_and_services,11017
1982-04-01,Industry_and_services,11043
1982-05-01,Industry_and_services,11163
1982-06-01,Industry_and_services,11341
1982-07-01,Industry_and_services,11213
1982-08-01,Industry_and_services,11166
1982-09-01,Industry_and_services,11485
1982-10-01,Industry_and_services,11293
1982-11-01,Industry_and_services,11248
1982-12-01,Industry_and_services,11969
1983-01-01,Industry_and_services,11827
1983-02-01,Industry_and_services,12598
1983-03-01,Industry_and_services,11721
1983-04-01,Industry_and_services,11631
1983-05-01,Industry_and_services,11856
1983-06-01,Industry_and_services,12182
1983-07-01,Industry_and_services,11914
1983-08-01,Industry_and_services,12051
1983-09-01,Industry_and_services,12446
1983-10-01,Industry_and_services,12167
1983-11-01,Industry_and_services,12113
1983-12-01,Industry_and_services,12908
1984-01-01,Industry_and_services,15370
1984-02-01,Industry_and_services,12648
1984-03-01,Industry_and_services,12898
1984-04-01,Industry_and_services,12931
1984-05-01,Industry_and_services,13254
1984-06-01,Industry_and_services,13279
1984-07-01,Industry_and_services,13296
1984-08-01,Industry_and_services,13199
1984-09-01,Industry_and_services,13563
1984-10-01,Industry_and_services,13290
1984-11-01,Industry_and_services,13305
1984-12-01,Industry_and_services,13891
1985-01-01,Industry_and_services,13702
1985-02-01,Industry_and_services,15745
1985-03-01,Industry_and_services,13330
1985-04-01,Industry_and_services,13358
1985-05-01,Industry_and_services,13437
1985-06-01,Industry_and_services,14407
1985-07-01,Industry_and_services,14059
1985-08-01,Industry_and_services,13521
1985-09-01,Industry_and_services,13792
1985-10-01,Industry_and_services,13770
1985-11-01,Industry_and_services,13767
1985-12-01,Industry_and_services,14874
1986-01-01,Industry_and_services,17384
1986-02-01,Industry_and_services,16615
1986-03-01,Industry_and_services,14341
1986-04-01,Industry_and_services,14315
1986-05-01,Industry_and_services,14461
1986-06-01,Industry_and_services,14726
1986-07-01,Industry_and_services,14952
1986-08-01,Industry_and_services,14616
1986-09-01,Industry_and_services,14810
1986-10-01,Industry_and_services,14717
1986-11-01,Industry_and_services,14590
1986-12-01,Industry_and_services,15967
1987-01-01,Industry_and_services,24061
1987-02-01,Industry_and_services,14754
1987-03-01,Industry_and_services,15205
1987-04-01,Industry_and_services,15171
1987-05-01,Industry_and_services,15544
1987-06-01,Industry_and_services,15478
1987-07-01,Industry_and_services,16056
1987-08-01,Industry_and_services,15914
1987-09-01,Industry_and_services,16209
1987-10-01,Industry_and_services,16293
1987-11-01,Industry_and_services,15968
1987-12-01,Industry_and_services,17324
1988-01-01,Industry_and_services,18457
1988-02-01,Industry_and_services,25435
1988-03-01,Industry_and_services,16688
1988-04-01,Industry_and_services,16679
1988-05-01,Industry_and_services,16873
1988-06-01,Industry_and_services,17392
1988-07-01,Industry_and_services,18044
1988-08-01,Industry_and_services,17629
1988-09-01,Industry_and_services,18339
1988-10-01,Industry_and_services,17896
1988-11-01,Industry_and_services,17933
1988-12-01,Industry_and_services,19492
1989-01-01,Industry_and_services,28131
1989-02-01,Industry_and_services,23887
1989-03-01,Industry_and_services,18919
1989-04-01,Industry_and_services,18907
1989-05-01,Industry_and_services,19462
1989-06-01,Industry_and_services,19714
1989-07-01,Industry_and_services,20249
1989-08-01,Industry_and_services,20445
1989-09-01,Industry_and_services,21014
1989-10-01,Industry_and_services,20787
1989-11-01,Industry_and_services,20785
1989-12-01,Industry_and_services,22616
1990-01-01,Industry_and_services,42943
1990-02-01,Industry_and_services,21728
1990-03-01,Industry_and_services,21470
1990-04-01,Industry_and_services,21553
1990-05-01,Industry_and_services,22119
1990-06-01,Industry_and_services,22063
1990-07-01,Industry_and_services,22780
1990-08-01,Industry_and_services,22611
1990-09-01,Industry_and_services,23116
1990-10-01,Industry_and_services,23231
1990-11-01,Industry_and_services,22904
1990-12-01,Industry_and_services,25066
1991-01-01,Industry_and_services,28874
1991-02-01,Industry_and_services,42399
1991-03-01,Industry_and_services,23854
1991-04-01,Industry_and_services,23829
1991-05-01,Industry_and_services,24988
1991-06-01,Industry_and_services,24924
1991-07-01,Industry_and_services,25527
1991-08-01,Industry_and_services,24893
1991-09-01,Industry_and_services,25541
1991-10-01,Industry_and_services,25113
1991-11-01,Industry_and_services,24901
1991-12-01,Industry_and_services,27847
1992-01-01,Industry_and_services,48797
1992-02-01,Industry_and_services,31210
1992-03-01,Industry_and_services,26301
1992-04-01,Industry_and_services,25954
1992-05-01,Industry_and_services,27240
1992-06-01,Industry_and_services,26842
1992-07-01,Industry_and_services,27441
1992-08-01,Industry_and_services,27460
1992-09-01,Industry_and_services,27474
1992-10-01,Industry_and_services,27217
1992-11-01,Industry_and_services,27133
1992-12-01,Industry_and_services,30381
1993-01-01,Industry_and_services,58781
1993-02-01,Industry_and_services,28351
1993-03-01,Industry_and_services,27927
1993-04-01,Industry_and_services,27958
1993-05-01,Industry_and_services,28905
1993-06-01,Industry_and_services,29785
1993-07-01,Industry_and_services,29614
1993-08-01,Industry_and_services,29026
1993-09-01,Industry_and_services,30061
1993-10-01,Industry_and_services,29118
1993-11-01,Industry_and_services,29031
1993-12-01,Industry_and_services,32078
1994-01-01,Industry_and_services,46416
1994-02-01,Industry_and_services,45400
1994-03-01,Industry_and_services,29914
1994-04-01,Industry_and_services,30062
1994-05-01,Industry_and_services,30306
1994-06-01,Industry_and_services,31204
